item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q105320551,Deputy Prime Minister of Laos,,,Q819,,,,14
Q114450829,Governor of the Bank of the Lao P.D.R.,Q4077339,Bank of the Lao P.D.R.,Q819,,,,2
Q114451984,Head of the President's Office,,,Q819,Q819,,,1
Q114450897,Minister and Head of Prime Minister's Office,,,Q819,Q819,,,2
Q114451829,Minister in the Prime Ministerâ€™s Office,,,Q819,Q819,,,2
Q113947527,Minister of Agriculture and Forestry of Laos,Q6866634,Ministry of Agriculture and Forestry of Laos,,Q819,,,1
Q113318650,Minister of Defence of Laos,,,Q819,Q819,,,1
Q114450898,Minister of Education and Sports,,,Q819,Q819,,,1
Q114450900,Minister of Energy and Mines,,,Q819,Q819,,,1
Q113947578,Minister of Finance,Q104876347,Ministry of Finance,,Q819,,,1
Q113470653,Minister of Foreign Affairs,Q6867008,Ministry of Foreign Affairs,,Q819,,,2
Q113947529,Minister of Health,Q30280632,Ministry of Health,,Q819,,,1
Q114450902,Minister of Home Affairs,,,Q819,Q819,,,1
Q113947545,Minister of Industry and Commerce,Q19695530,Ministry of Industry and Commerce,,Q819,,,3
Q114450903,"Minister of Information, Culture and Tourism",,,Q819,Q819,,,1
Q113947582,Minister of Justice (Laos),Q55648357,Ministry of Justice (Laos),,Q819,,,1
Q114450904,Minister of Labour and Social Welfare,,,Q819,Q819,,,1
Q113947585,Minister of Natural Resources and Environment,Q61931681,Ministry of Natural Resources and Environment,,Q819,,,1
Q114450905,Minister of Planning and Investment,,,Q819,Q819,,,2
Q113947546,Minister of Public Security,Q19695544,Ministry of Public Security,,Q819,,,1
Q114450518,Minister of Public Works and Transport,Q16965995,Ministry of Public Works and Transport,,Q819,,,1
Q113947587,Minister of Science and Technology,Q52842759,Ministry of Science and Technology,,Q819,,,0
Q114450907,Minister of Technology and Telecommunications,,,Q819,Q819,,,1
Q778651,Prime Minister of Laos,,,Q819,Q819,1945,,10
Q7925053,Vice President of Laos,,,Q819,Q819,,,7
